state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,19,13,3v,105,62,43,0,Dem,Rep,Divided
Alaska,60,20,10,10,0,40,18,22,0,Split,Rep,Divided
Arizona,90,30,12,18,0,60,25,35,0,Rep,Rep,Rep
Arkansas,135,35,27,8,0,100,71,28,1,Dem,Dem,Dem
California,120,40,26,14,0,80,51,29,0,Dem,Rep,Divided
Colorado,100,35,21,14,0,65,38,27,0,Dem,Dem,Dem
Connecticut,187,36,24,12,0,151,114,37,0,Dem,Rep,Divided
Delaware,62,21,16,5,0,41,24,17,0,Dem,Dem,Dem
Florida,160,40,14,26,0,120,44,76,0,Rep,Rep,Rep
Georgia,236,56,22,34,0,180,75,105,0,Rep,Rep,Rep
Hawaii,76,25,23,2,0,51,45,6,0,Dem,Rep,Divided
Idaho,105,35,7,28,0,70,18,52,0,Rep,Rep,Rep
Illinois,177,59,37,22,0,118,70,48,0,Dem,Dem,Dem
Indiana,150,50,17,33,0,100,52,48,0,Split,Rep,Divided
Iowa,150,50,32,18,0,100,56,44,0,Dem,Dem,Dem
Kansas,165,40,9,31,0,125,48,77,0,Rep,Dem,Divided
Kentucky,138,38,15,22,1,100,65,35,0,Split,Dem,Divided
Louisiana,144,39,22,15,2v,105,52,50,3,Dem,Rep,Divided
Maine,186,35,20,15,0,151,96,54,1,Dem,Dem,Dem
Maryland,188,47,33,14,0,141,104,36,1,Dem,Dem,Dem
Massachusetts,200,40,35,5,0,160,143,16,1,Dem,Dem,Dem
Michigan,148,38,17,21,0,110,67,43,0,Split,Dem,Divided
Minnesota,201,67,46,21,0,134,87,47,0,Dem,Rep,Divided
Mississippi,174,52,27,25,0,122,74,48,0,Dem,Rep,Divided
Missouri,197,34,11,23,0,163,74,89,0,Rep,Dem,Divided
Montana,150,50,23,27,0,100,50,50,0,Split,Dem,Divided
Nebraska,49,49,0,0,49,Unicameral,0,0,0,N/A,Rep,N/A
Nevada,63,21,12,9,0,42,28,14,0,Dem,Rep,Divided
New Hampshire,424,24,14,10,0,400,224,176,0,Dem,Dem,Dem
New Jersey,120,40,23,17,0,80,48,32,0,Dem,Dem,Dem
New Mexico,112,42,27,15,0,70,45,25,0,Dem,Dem,Dem
New York,212,62,32,30,0,150,109,41,0,Dem,Dem,Dem
North Carolina,170,50,30,20,0,120,68,52,0,Dem,Dem,Dem
North Dakota,141,47,21,26,0,94,36,58,0,Rep,Rep,Rep
Ohio,132,33,12,21,0,99,53,46,0,Split,Dem,Divided
Oklahoma,149,48,22,26,0,101,40,61,0,Rep,Dem,Divided
Oregon,90,30,18,12,0,60,36,24,0,Dem,Dem,Dem
Pennsylvania,253,50,20,29,1v,203,104,99,0,Split,Dem,Divided
Rhode Island,113,38,33,4,1,75,69,6,0,Dem,Rep,Divided
South Carolina,170,46,19,27,0,124,53,71,0,Rep,Rep,Rep
South Dakota,105,35,14,20,1,70,24,46,0,Rep,Rep,Rep
Tennessee,132,33,14,19,0,99,49,50,0,Rep,Dem,Divided
Texas,181,31,12,19,0,150,74,76,0,Rep,Rep,Rep
Utah,104,29,8,21,0,75,22,53,0,Rep,Rep,Rep
Vermont,180,30,23,7,0,150,95,48,7,Dem,Rep,Divided
Virginia,140,40,21,19,0,100,44,52,"2, 2v",Split,Dem,Divided
Washington,147,49,31,18,0,98,64,34,0,Dem,Dem,Dem
West Virginia,134,34,28,6,0,100,79,21,0,Dem,Dem,Dem
Wisconsin,132,33,18,15,0,99,52,46,1,Dem,Dem,Dem
Wyoming,90,30,7,23,0,60,19,41,0,Rep,Dem,Divided
District of Columbia,13,13,11,0,2,Unicameral,0,0,0,Dem,N/A,N/A
Guam,15,15,9,6,0,Unicameral,0,0,0,Dem,Rep,Divided
Mariana Islands,29,9,5,3,1v,20,4C,4,12,Split,Cov,Divided
Puerto Rico,78,27,5PDP,22NPP,0,51,14PDP,37NPP,0,NPP,NPP,NPP
Virgin Islands,15,15,0,0,0,Unicameral,0,0,0,N/A,Dem,N/A
