state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,8,26,1,105,32,72,1v,Rep,Rep,Rep
Alaska,60,20,6,14,0,40,17,21,2,Rep,Ind,Divided
Arizona,90,30,13,17,0,60,25,35,0,Rep,Rep,Rep
Arkansas,135,35,9,26,0,100,24,76,0,Rep,Rep,Rep
California,120,40,27,13,0,80,55,25,0,Dem,Dem,Dem
Colorado,100,35,17,18,0,65,37,28,0,Split,Dem,Divided
Connecticut,187,36,18,18,0,151,79,72,0,Split,Dem,Divided
Delaware,62,21,11,10,0,41,25,16,0,Dem,Dem,Dem
Florida,160,40,15,25,0,120,41,79,0,Rep,Rep,Rep
Georgia,236,56,18,38,0,180,62,118,0,Rep,Rep,Rep
Hawaii,76,25,25,0,0,51,45,6,0,Dem,Dem,Dem
Idaho,105,35,6,29,0,70,11,59,0,Rep,Rep,Rep
Illinois,177,59,37,22,0,118,67,51,0,Dem,Rep,Divided
Indiana,150,50,9,41,0,100,30,70,0,Rep,Rep,Rep
Iowa,150,50,19,29,"1,1v",100,41,59,0,Rep,Rep,Rep
Kansas,165,40,9,31,0,125,40,85,0,Rep,Rep,Rep
Kentucky,138,38,11,27,0,100,36,64,0,Rep,Rep,Rep
Louisiana,144,39,14,25,0,105,42,60,3,Rep,Dem,Divided
Maine,186,35,17,18,0,151,76,73,2,Split,Rep,Divided
Maryland,188,47,33,14,0,141,90,51,0,Dem,Rep,Divided
Massachusetts,200,40,34,6,0,160,125,35,0,Dem,Rep,Divided
Michigan,148,38,11,27,0,110,47,63,0,Rep,Rep,Rep
Minnesota,201,67,33,34,0,134,57,76,1v,Rep,Dem,Divided
Mississippi,174,52,20,32,0,122,48,72,2v,Rep,Rep,Rep
Missouri,197,34,9,25,0,163,46,117,0,Rep,Rep,Rep
Montana,150,50,18,32,0,100,41,59,0,Rep,Dem,Divided
Nebraska,49,49,0,0,49,Unicameral,0,0,0,N/A,Rep,N/A
Nevada,63,21,11,9,1,42,27,15,0,Dem,Rep,Divided
New Hampshire,424,24,10,14,0,400,175,225,0,Rep,Rep,Rep
New Jersey,120,40,24,16,0,80,52,28,0,Dem,Rep,Divided
New Mexico,112,42,26,16,0,70,38,32,0,Dem,Rep,Divided
New York,213,63,32,31,0,150,107,43,0,Dem,Dem,Dem
North Carolina,170,50,15,35,0,120,46,74,0,Rep,Dem,Divided
North Dakota,141,47,9,38,0,94,13,81,0,Rep,Rep,Rep
Ohio,132,33,9,24,0,99,33,66,0,Rep,Rep,Rep
Oklahoma,149,48,6,42,0,101,26,75,0,Rep,Rep,Rep
Oregon,90,30,17,13,0,60,35,25,0,Dem,Dem,Dem
Pennsylvania,253,50,16,34,0,203,81,122,0,Rep,Dem,Divided
Rhode Island,113,38,33,5,0,75,64,10,1,Dem,Dem,Dem
South Carolina,170,46,18,28,0,124,44,80,0,Rep,Rep,Rep
South Dakota,105,35,6,29,0,70,10,60,0,Rep,Rep,Rep
Tennessee,132,33,5,28,0,99,25,74,0,Rep,Rep,Rep
Texas,181,31,11,20,0,150,56,94,0,Rep,Rep,Rep
Utah,104,29,5,24,0,75,13,62,0,Rep,Rep,Rep
Vermont,180,30,23,7,0,150,91,53,6,Dem,Rep,Divided
Virginia,140,40,19,21,0,100,34,66,0,Rep,Dem,Divided
Washington,147,49,25,24,0,98,50,48,0,Dem,Dem,Dem
West Virginia,134,34,12,22,0,100,37,63,0,Rep,Dem,Divided
Wisconsin,132,33,13,20,0,99,35,64,0,Rep,Rep,Rep
Wyoming,90,30,3,27,0,60,9,51,0,Rep,Rep,Rep
District of Columbia,13,13,12,0,1,Unicameral,0,0,0,Dem,N/A,N/A
Guam,15,15,10,5,0,Unicameral,0,0,0,Dem,NULL,Divided
Mariana Islands,29,9,0,6,3,20,0,7,13,Split,NULL,Divided
Puerto Rico,81,30,7PDP,21NPP,2,51,16PDP,34NPP,1,NPP,NPP,NPP
Virgin Islands,15,15,0,0,15,Unicameral,0,0,0,N/A,NULL,N/A
