state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,11,23,"",105,39,6,2v,Rep,Rep,Rep
Alaska,60,20,7,13,"",40,15,2,0,Rep,Rep,Rep
Arizona,90,30,13,17,"",60,24,3,0,Rep,Rep,Rep
Arkansas,135,35,14,21,"",100,48,5,1,Rep,Dem,Divided
California,120,40,26,12,2,80,54,2,0,Dem,Dem,Dem
Colorado,100,35,19,16,"",65,36,2,0,Dem,Dem,Dem
Connecticut,187,36,22,14,"",151,99,5,0,Dem,Dem,Dem
Delaware,62,21,13,8,"",41,27,1,0,Dem,Dem,Dem
Florida,160,40,14,26,"",120,46,7,0,Rep,Rep,Rep
Georgia,236,56,18,38,"",180,60,1,1,Rep,Rep,Rep
Hawaii,76,25,24,1,"",51,44,"",0,Dem,Dem,Dem
Idaho,105,35,7,28,"",70,13,5,0,Rep,Rep,Rep
Illinois,177,59,40,19,"",118,71,4,0,Dem,Dem,Dem
Indiana,150,50,13,37,"",100,31,6,0,Rep,Rep,Rep
Iowa,150,50,26,23,1,100,47,5,0,Split,Rep,Divided
Kansas,165,40,9,31,"",125,35,9,0,Rep,Rep,Rep
Kentucky,138,38,14,22,"1,",100,55,4,0,Split,Dem,Divided
Louisiana,144,39,15,24,"",105,45,5,2,Rep,Rep,Rep
Maine,186,35,19,15,"",151,87,6,4,Dem,Rep,Divided
Maryland,188,47,35,12,"",141,98,4,0,Dem,Dem,Dem
Massachusetts,200,40,36,4,"",160,131,2,0,Dem,Dem,Dem
Michigan,148,38,12,26,"",110,51,5,0,Rep,Rep,Rep
Minnesota,201,67,39,28,"",134,73,6,0,Dem,Dem,Dem
Mississippi,174,52,21,30,1,122,58,6,1v,Rep,Rep,Rep
Missouri,197,34,10,24,"",163,53,1,0,Rep,Dem,Divided
Montana,150,50,23,27,"",100,37,6,0,Rep,Dem,Divided
Nevada,63,21,11,10,"",42,27,1,0,Dem,Rep,Divided
New Hampshire,424,24,11,13,"",400,222,1,0,Split,Dem,Divided
New Jersey,120,40,24,16,"",80,48,3,0,Dem,Rep,Divided
New Mexico,112,42,25,17,"",70,38,3,0,Dem,Rep,Divided
New York,213,63,33,30,0,150,107,4,0,Dem,Dem,Dem
North Carolina,170,50,18,32,0,120,43,7,0,Rep,Rep,Rep
North Dakota,141,47,13,33,1,94,23,7,0,Rep,Rep,Rep
Ohio,132,33,10,23,0,99,39,6,0,Rep,Rep,Rep
Oklahoma,149,48,12,36,0,101,29,7,0,Rep,Rep,Rep
Oregon,90,30,16,14,0,60,34,2,0,Dem,Dem,Dem
Pennsylvania,253,50,23,27,0,203,93,1,0,Rep,Rep,Rep
Rhode Island,113,38,32,5,1,75,69,"",0,Dem,Ind,Divided
South Carolina,170,46,18,28,0,124,46,7,5,Rep,Rep,Rep
South Dakota,105,35,7,28,0,70,17,5,0,Rep,Rep,Rep
Tennessee,132,33,7,26,0,99,28,7,1,Rep,Rep,Rep
Texas,181,31,12,19,0,150,55,9,0,Rep,Rep,Rep
Utah,104,29,5,24,0,75,14,6,0,Rep,Rep,Rep
Vermont,180,30,22,6,2,150,96,4,9,Dem,Dem,Dem
Virginia,140,40,20,20,0,100,31,6,"1,",Split,Rep,Divided
Washington,147,49,26,23,0,98,55,4,0,Dem,Dem,Dem
West Virginia,134,34,25,9,0,100,54,4,0,Dem,Dem,Dem
Wisconsin,132,33,15,18,0,99,39,6,0,Rep,Rep,Rep
Wyoming,90,30,4,26,0,60,8,5,0,Rep,Rep,Rep
American Samoa,39,"","",on-par,n,2,"",Non-,rtisan,N/A,Ind,N/A
Mariana Islands,29,"",5,"","",2,"","",4,Split,Cov,Divided
Puerto Rico,78,"",18PD,8NP,"",51,28,P,3NPP,PDP,PDP,PDP
