state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,8,26,1,105,33,72,0,Rep,Rep,Rep
Alaska,60,20,6,14,0,40,16,23,1,Rep,Ind,Divided
Arizona,90,30,13,17,0,60,24,36,0,Rep,Rep,Rep
Arkansas,135,35,11,24,0,100,36,64,0,Rep,Rep,Rep
California,120,40,25,12,3v,80,52,28,0,Dem,Dem,Dem
Colorado,100,35,17,18,0,65,34,31,0,Split,Dem,Divided
Connecticut,187,36,20,15,1v,151,86,63,2v,Dem,Dem,Dem
Delaware,62,21,12,9,0,41,25,16,0,Dem,Dem,Dem
Florida,160,40,14,25,1v,120,38,80,2v,Rep,Rep,Rep
Georgia,236,56,18,38,0,180,59,120,1,Rep,Rep,Rep
Hawaii,76,25,24,1,0,51,44,7,0,Dem,Dem,Dem
Idaho,105,35,7,28,0,70,14,56,0,Rep,Rep,Rep
Illinois,177,59,39,20,0,118,71,47,0,Dem,Rep,Divided
Indiana,150,50,10,40,0,100,30,70,0,Rep,Rep,Rep
Iowa,150,50,26,24,0,100,43,56,1v,Split,Rep,Divided
Kansas,165,40,8,32,0,125,28,97,0,Rep,Rep,Rep
Kentucky,138,38,11,26,1v,100,54,46,0,Split,Dem,Divided
Louisiana,144,39,13,26,0,105,43,56,"2, 4v",Rep,Rep,Rep
Maine,186,35,15,20,0,151,78,68,"4, 1v",Split,Rep,Divided
Maryland,188,47,33,14,0,141,91,50,0,Dem,Rep,Divided
Massachusetts,200,40,34,6,0,160,123,35,2v,Dem,Rep,Divided
Michigan,148,38,11,27,0,110,47,63,0,Rep,Rep,Rep
Minnesota,201,67,39,28,0,134,62,72,0,Split,Dem,Divided
Mississippi,174,52,20,32,0,122,56,66,0,Rep,Rep,Rep
Missouri,197,34,9,25,0,163,44,117,"1,1v",Rep,Dem,Divided
Montana,150,50,21,29,0,100,41,59,0,Rep,Dem,Divided
Nebraska,49,49,0,0,49,Unicameral,0,0,0,N/A,Rep,N/A
Nevada,63,21,10,11,0,42,17,25,0,Rep,Rep,Rep
New Hampshire,424,24,10,14,0,400,160,238,2,Rep,Dem,Divided
New Jersey,120,40,24,16,0,80,48,32,0,Dem,Rep,Divided
New Mexico,112,42,25,17,0,70,33,37,0,Split,Rep,Divided
New York,213,63,25,33,5,150,105,44,1,Split,Dem,Divided
North Carolina,170,50,15,34,1v,120,45,73,"1, 1v",Rep,Rep,Rep
North Dakota,141,47,15,32,0,94,23,71,0,Rep,Rep,Rep
Ohio,132,33,10,23,0,99,34,65,0,Rep,Rep,Rep
Oklahoma,149,48,8,40,0,101,29,72,0,Rep,Rep,Rep
Oregon,90,30,18,12,0,60,35,25,0,Dem,Dem,Dem
Pennsylvania,253,50,20,30,0,203,83,119,1v,Rep,Dem,Divided
Rhode Island,113,38,32,5,1,75,63,11,1,Dem,Dem,Dem
South Carolina,170,46,18,28,0,124,46,78,0,Rep,Rep,Rep
South Dakota,105,35,8,27,0,70,12,58,0,Rep,Rep,Rep
Tennessee,132,33,5,28,0,99,26,73,0,Rep,Rep,Rep
Texas,181,31,11,20,0,150,50,97,3v,Rep,Rep,Rep
Utah,104,29,5,24,0,75,12,63,0,Rep,Rep,Rep
Vermont,180,30,21,9,0,150,85,53,12,Dem,Dem,Dem
Virginia,140,40,19,21,0,100,32,67,1,Rep,Dem,Divided
Washington,147,49,24,25,0,98,51,47,0,Split,Dem,Divided
West Virginia,134,34,16,18,0,100,36,64,0,Rep,Dem,Divided
Wisconsin,132,33,14,18,1,99,36,63,0,Rep,Rep,Rep
Wyoming,90,30,4,26,0,60,9,51,0,Rep,Rep,Rep
District of Columbia,13,13,11,0,2,Unicameral,0,0,0,Dem,N/A,N/A
Guam,15,15,9,6,0,Unicameral,0,0,0,Dem,NULL,Divided
Mariana Islands,29,9,1C,5,3,20,4C,5,11,Split,NULL,Divided
Puerto Rico,78,27,18PDP,8NPP,1,51,28PDP,23NPP,0,PDP,PDP,PDP
Virgin Islands,15,15,0,0,15,Unicameral,0,0,0,N/A,NULL,N/A
