state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,21,14,"",105,60,45,0,Dem,Rep,Divided
Alaska,60,20,10,10,"",40,18,22,0,Split,Rep,Divided
Arizona,90,30,12,18,"",60,25,35,0,Rep,Rep,Rep
Arkansas,135,35,27,8,"",100,71,28,1,Dem,Dem,Dem
California,120,40,25,14,1,80,49,29,"1, 1",Dem,Rep,Divided
Colorado,100,35,21,14,"",65,37,27,1,Dem,Dem,Dem
Connecticut,187,36,24,12,"",151,114,36,1v,Dem,Rep,Divided
Delaware,62,21,15,6,"",41,24,17,0,Dem,Dem,Dem
Florida,160,40,14,26,"",120,43,76,1v,Rep,Rep,Rep
Georgia,236,56,21,34,1,180,74,10,1,Rep,Rep,Rep
Hawaii,76,25,23,2,"",51,45,6,0,Dem,Rep,Divided
Idaho,105,35,7,28,"",70,18,5,0,Rep,Rep,Rep
Illinois,177,59,37,22,"",118,70,48,0,Dem,Dem,Dem
Indiana,150,50,17,33,"",100,52,48,0,Split,Rep,Divided
Iowa,150,50,32,18,"",100,56,44,0,Dem,Dem,Dem
Kansas,165,40,9,31,"",125,49,76,0,Rep,Dem,Divided
Kentucky,138,38,17,20,"",100,65,35,0,Split,Dem,Divided
Louisiana,144,39,23,16,"",105,52,50,3,Dem,Rep,Divided
Maine,186,35,20,15,"",151,95,55,1,Dem,Dem,Dem
Maryland,188,47,33,14,"",141,104,36,1v,Dem,Dem,Dem
Massachusetts,200,40,34,5,1,160,144,16,0,Dem,Dem,Dem
Michigan,148,38,16,22,"",110,66,43,1v,Split,Dem,Divided
Minnesota,201,67,46,21,"",134,87,47,0,Dem,Rep,Divided
Mississippi,174,52,26,25,1,122,74,48,0,Dem,Rep,Divided
Missouri,197,34,11,23,"",163,73,89,1v,Rep,Dem,Divided
Montana,150,50,23,27,"",100,50,50,0,Split,Dem,Divided
Nevada,63,21,12,8,1,42,28,1,0,Dem,Rep,Divided
New Hampshire,424,24,14,10,"",400,222,17,3v,Dem,Dem,Dem
New Jersey,120,40,23,17,"",80,47,33,0,Dem,Rep,Divided
New Mexico,112,42,27,15,"",70,45,2,0,Dem,Dem,Dem
New York,212,62,32,30,"",150,109,4,0,Dem,Dem,Dem
North Carolina,170,50,30,20,"",120,68,5,0,Dem,Dem,Dem
North Dakota,141,47,21,26,"",94,36,5,0,Rep,Rep,Rep
Ohio,132,33,12,21,"",99,53,46,0,Split,Dem,Divided
Oklahoma,149,48,22,26,0,101,40,61,0,Rep,Dem,Divided
Oregon,90,30,18,12,0,60,36,24,0,Dem,Dem,Dem
Pennsylvania,253,50,20,30,0,203,103,97,3v,Split,Dem,Divided
Rhode Island,113,38,33,4,1,75,69,6,0,Dem,Rep,Divided
South Carolina,170,46,19,27,0,124,51,73,0,Rep,Rep,Rep
South Dakota,105,35,14,21,"",70,24,4,0,Rep,Rep,Rep
Tennessee,132,33,14,19,"",99,47,5,"1, 1",Rep,Dem,Divided
Texas,181,31,12,19,"",150,73,7,0,Rep,Rep,Rep
Utah,104,29,8,21,"",75,22,5,0,Rep,Rep,Rep
Vermont,180,30,22,7,"",150,95,48,7,Dem,Rep,Divided
Virginia,140,40,22,18,"",100,39,59,2,Split,Rep,Divided
Washington,147,49,31,18,"",98,62,36,0,Dem,Dem,Dem
West Virginia,134,34,26,8,0,100,71,29,0,Dem,Dem,Dem
Wisconsin,132,33,18,15,0,99,52,46,1,Dem,Dem,Dem
Wyoming,90,30,7,23,0,60,19,41,0,Rep,Dem,Divided
American Samoa,39,1,"",on-par,n,2,"",Non-,rtisan,N/A,Ind,N/A
Mariana Islands,29,"",5,"","",2,"","",4,Split,Cov,Divided
Puerto Rico,78,2,5PD,22N,"",51,14,P     3,PP,NPP,NPP,NPP
