state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,12,22,"",105,3,"","",Rep,Rep,Rep
Alaska,60,20,10,10,"",40,1,"","",Split,Rep,Divided
Arizona,90,30,9,21,"",60,2,"","",Rep,Rep,Rep
Arkansas,135,35,20,15,"",100,5,"",1,Dem,Dem,Dem
California,120,40,25,15,"",80,5,"",8,Dem,Dem,Dem
Colorado,100,35,20,15,"",65,3,"",3,Split,Dem,Divided
Connecticut,187,36,23,13,"",151,10,"",1,Dem,Dem,Dem
Delaware,62,21,14,7,"",41,2,"",5,Dem,Dem,Dem
Florida,160,40,12,28,"",120,3,"",1,Rep,Rep,Rep
Georgia,236,56,20,36,"",180,6,"",3,Rep,Rep,Rep
Hawaii,76,25,24,1,"",51,4,"","",Dem,Dem,Dem
Idaho,105,35,7,28,"",70,1,"","",Rep,Rep,Rep
Illinois,177,59,35,24,"",118,6,"","",Dem,Dem,Dem
Indiana,150,50,13,37,"",100,4,"",1,Rep,Rep,Rep
Iowa,150,50,26,24,"",100,4,"","",Split,Rep,Divided
Kansas,165,40,8,32,"",125,3,"",2,Rep,Rep,Rep
Kentucky,138,38,15,22,"",100,5,"",2,Split,Dem,Divided
Louisiana,144,39,20,18,"",105,4,"",2,Split,Rep,Divided
Maine,186,35,14,20,"",151,7,"",8,Rep,Rep,Rep
Maryland,188,47,35,12,"",141,9,"","",Dem,Dem,Dem
Massachusetts,200,40,36,4,"",160,12,"",1,Dem,Dem,Dem
Michigan,148,38,12,26,"",110,4,"","",Rep,Rep,Rep
Minnesota,201,67,30,37,"",134,6,"","",Rep,Dem,Divided
Mississippi,174,52,26,25,1,122,7,"","",Dem,Rep,Divided
Missouri,197,34,8,26,"",163,5,"",6,Rep,Dem,Divided
Montana,150,50,22,28,"",100,3,"","",Rep,Dem,Divided
Nevada,63,21,11,10,"",42,2,"","",Dem,Rep,Divided
New Hampshire,424,24,5,19,"",400,10,"",8,Rep,Dem,Divided
New Jersey,120,40,24,16,"",80,4,"","",Dem,Rep,Divided
New Mexico,112,42,27,15,"",70,3,"","",Dem,Rep,Divided
New York,212,62,30,32,"",150,10,"",2,Split,Dem,Divided
North Carolina,170,50,19,31,"",120,5,"","",Rep,Dem,Divided
North Dakota,141,47,12,35,"",94,2,"","",Rep,Rep,Rep
Ohio,132,33,10,23,"",99,4,"","",Rep,Rep,Rep
Oklahoma,149,48,16,32,"",101,3,"","",Rep,Rep,Rep
Oregon,90,30,16,14,"",60,3,"","",Split,Dem,Divided
Pennsylvania,253,50,20,30,"",203,9,"",2,Rep,Rep,Rep
Rhode Island,113,38,29,8,"",75,6,"","",Dem,Ind,Divided
South Carolina,170,46,19,27,"",124,4,"",1,Rep,Rep,Rep
South Dakota,105,35,5,30,"",70,1,"","",Rep,Rep,Rep
Tennessee,132,33,13,19,1,99,3,"","1,",Rep,Rep,Rep
Texas,181,31,12,19,"",150,4,"",1,Rep,Rep,Rep
Utah,104,29,7,22,"",75,1,"","",Rep,Rep,Rep
Vermont,180,30,22,8,"",150,9,"","",Dem,Dem,Dem
Virginia,140,40,22,18,"",100,3,"","",Split,Rep,Divided
Washington,147,49,27,22,"",98,5,"","",Dem,Dem,Dem
West Virginia,134,34,28,6,"",100,6,"","",Dem,Dem,Dem
Wisconsin,132,33,14,19,"",99,3,"","",Rep,Rep,Rep
Wyoming,90,30,4,26,"",60,1,"",0,Rep,Rep,Rep
American Samoa,39,"","",partis,"",2,"",Non-,rtisan,N/A,Ind,N/A
Mariana Islands,29,"",5,3,1v,2,"","",4,Split,Rep,Divided
Puerto Rico,78,"",5PDP,NPP,0,51,14,P,7NPP,NPP,NPP,NPP
