state,women_house,women_senate,women_total,total_seats,women_pct
Alabama,14,5,19,140,13.60%
Alaska,10,4,14,60,23.30%
Arizona,20,11,31,90,34.40%
Arkansas,22,8,30,135,22.20%
California,22,12,34,120,28.30%
Colorado,24,17,41,100,41.00%
Connecticut,47,9,56,187,29.90%
Delaware,9,7,16,62,25.80%
Florida,27,14,41,160,25.60%
Georgia,47,9,56,236,23.70%
Hawaii,17,9,26,76,34.20%
Idaho,19,9,28,105,26.70%
Illinois,39,16,55,177,31.10%
Indiana,21,11,32,150,21.30%
Iowa,24,7,31,150,20.70%
Kansas,33,12,45,165,27.30%
Kentucky,19,6,25,138,18.10%
Louisiana,15,8,23,144,16.00%
Maine,47,8,55,186,29.60%
Maryland,47,11,58,188,30.90%
Massachusetts,37,11,48,200,24.00%
Michigan,27,4,31,148,20.90%
Minnesota,44,20,64,201,31.80%
Mississippi,21,5,26,174,14.90%
Missouri,39,6,45,197,22.80%
Montana,28,8,36,150,24.00%
Nebraska,Unicameral,11,11,49,22.40%
Nevada,12,6,18,63,28.6%
New Hampshire,98,6,104,424,24.50%
New Jersey,24,10,34,120,28.30%
New Mexico,20,10,30,112,26.80%
New York,34,11,45,212,21.20%
North Carolina,32,6,38,170,22.40%
North Dakota,15,6,21,141,14.90%
Ohio,22,8,30,132,22.70%
Oklahoma,15,4,19,149,12.80%
Oregon,17,8,25,90,27.80%
Pennsylvania,33,11,44,253,17.40%
Rhode Island,19,10,29,113,25.70%
South Carolina,16,0,16,170,9.40%
South Dakota,14,7,21,105,20.00%
Tennessee,17,7,24,132,18.20%
Texas,32,6,38,181,21.0%
Utah,13,5,18,104,17.3%
Vermont,58,11,69,180,38.3%
Virginia,19,8,27,140,19.30%
Washington,29,18,47,147,32.00%
West Virginia,22,2,24,134,17.90%
Wisconsin,23,10,33,132,25.0%
Wyoming,12,1,13,90,14.4%
Total,1315,429,1744,7382,23.60%
