state,women_house,women_senate,women_total,total_seats,women_pct
Alabama,13,5,18,140,12.90%
Alaska,9,3,12,60,20.00%
Arizona,18,11,29,90,32.20%
Arkansas,25,6,31,135,23.00%
California,20,13,33,120,27.50%
Colorado,25,13,38,100,38.00%
Connecticut,52,8,60,187,32.10%
Delaware,8,8,16,62,25.80%
Florida,29,9,38,160,23.80%
Georgia,38,7,45,236,19.10%
Hawaii,18,7,25,76,32.90%
Idaho,18,8,26,105,24.80%
Illinois,37,13,50,177,28.20%
Indiana,20,12,32,150,21.30%
Iowa,26,9,35,150,23.30%
Kansas,36,14,50,165,30.30%
Kentucky,15,7,22,138,15.90%
Louisiana,15,8,23,144,16.00%
Maine,46,8,54,186,29.00%
Maryland,49,10,59,188,31.40%
Massachusetts,40,12,52,200,26.00%
Michigan,28,9,37,148,25.00%
Minnesota,43,27,70,201,34.80%
Mississippi,21,4,25,174,14.40%
Missouri,36,8,44,197,22.30%
Montana,29,10,39,150,26.00%
Nebraska,Unicameral,10,10,49,20.40%
Nevada,13,7,20,63,31.70%
New Hampshire,144,13,157,424,37.00%
New Jersey,26,8,34,120,28.30%
New Mexico,23,11,34,112,30.40%
New York,41,10,51,212,24.10%
North Carolina,37,7,44,170,25.90%
North Dakota,17,7,24,141,17.00%
Ohio,22,7,29,132,22.00%
Oklahoma,12,5,17,149,11.40%
Oregon,16,10,26,90,28.90%
Pennsylvania,29,10,39,253,15.40%
Rhode Island,17,8,25,113,22.10%
South Carolina,17,0,17,170,10.00%
South Dakota,14,7,21,105,20.00%
Tennessee,17,8,25,132,18.90%
Texas,36,6,42,181,23.20%
Utah,17,5,22,104,21.20%
Vermont,56,11,67,180,37.20%
Virginia,19,8,27,140,19.30%
Washington,29,19,48,147,32.70%
West Virginia,20,2,22,134,16.40%
Wisconsin,22,7,29,132,22.00%
Wyoming,13,2,15,90,16.70%
Total,1371,437,1808,7382,24.50%
