year,state,control,governor_party,legislature_control,legislature_seats,house_seats,house_dem,house_rep,house_vacant,house_other,senate_seats,senate_dem,senate_rep,senate_vacant,senate_other,unicameral_seats,unicameral_dem,unicameral_rep,unicameral_vacant,unicameral_other
2011,Alabama,Rep,Rep,Rep,140,105,39,66,0,0,35,12,22,0,1,0,0,0,0,0
2011,Alaska,Divided,Rep,Split,60,40,16,24,0,0,20,10,10,0,0,0,0,0,0,0
2011,Arizona,Rep,Rep,Rep,90,60,20,40,0,0,30,9,21,0,0,0,0,0,0,0
2011,Arkansas,Dem,Dem,Dem,135,100,55,44,1,0,35,20,15,0,0,0,0,0,0,0
2011,California,Dem,Dem,Dem,120,80,52,28,0,0,40,25,15,0,0,0,0,0,0,0
2011,Colorado,Divided,Dem,Split,100,65,32,33,0,0,35,20,15,0,0,0,0,0,0,0
2011,Connecticut,Dem,Dem,Dem,187,151,100,51,0,0,36,23,13,0,0,0,0,0,0,0
2011,Delaware,Dem,Dem,Dem,62,41,26,15,0,0,21,14,7,0,0,0,0,0,0,0
2011,Florida,Rep,Rep,Rep,160,120,39,81,0,0,40,12,28,0,0,0,0,0,0,0
2011,Georgia,Rep,Rep,Rep,236,180,66,113,0,1,56,20,36,0,0,0,0,0,0,0
2011,Hawaii,Dem,Dem,Dem,76,51,43,8,0,0,25,24,1,0,0,0,0,0,0,0
2011,Idaho,Rep,Rep,Rep,105,70,13,57,0,0,35,7,28,0,0,0,0,0,0,0
2011,Illinois,Dem,Dem,Dem,177,118,64,54,0,0,59,35,24,0,0,0,0,0,0,0
2011,Indiana,Rep,Rep,Rep,150,100,40,59,0,1,50,13,37,0,0,0,0,0,0,0
2011,Iowa,Divided,Rep,Split,150,100,40,60,0,0,50,26,24,0,0,0,0,0,0,0
2011,Kansas,Rep,Rep,Rep,165,125,33,92,0,0,40,8,32,0,0,0,0,0,0,0
2011,Kentucky,Divided,Dem,Split,138,100,58,42,0,0,38,15,22,0,1,0,0,0,0,0
2011,Louisiana,Divided,Rep,Split,144,105,49,52,0,4,39,20,18,0,1,0,0,0,0,0
2011,Maine,Rep,Rep,Rep,186,151,72,78,0,1,35,14,20,0,1,0,0,0,0,0
2011,Maryland,Dem,Dem,Dem,188,141,98,43,0,0,47,35,12,0,0,0,0,0,0,0
2011,Massachusetts,Dem,Dem,Dem,200,160,128,31,0,1,40,36,4,0,0,0,0,0,0,0
2011,Michigan,Rep,Rep,Rep,148,110,47,63,0,0,38,12,26,0,0,0,0,0,0,0
2011,Minnesota,Divided,Dem,Rep,201,134,62,72,0,0,67,30,37,0,0,0,0,0,0,0
2011,Mississippi,Divided,Rep,Dem,174,122,72,50,0,0,52,26,25,1,0,0,0,0,0,0
2011,Missouri,Divided,Dem,Rep,197,163,57,106,0,0,34,8,26,0,0,0,0,0,0,0
2011,Montana,Divided,Dem,Rep,150,100,32,68,0,0,50,22,28,0,0,0,0,0,0,0
2011,Nebraska,N/A,Rep,N/A,49,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49
2011,Nevada,Divided,Rep,Dem,63,42,26,16,0,0,21,11,10,0,0,0,0,0,0,0
2011,New Hampshire,Divided,Dem,Rep,424,400,102,298,0,0,24,5,19,0,0,0,0,0,0,0
2011,New Jersey,Divided,Rep,Dem,120,80,47,33,0,0,40,24,16,0,0,0,0,0,0,0
2011,New Mexico,Divided,Rep,Dem,112,70,37,33,0,0,42,27,15,0,0,0,0,0,0,0
2011,New York,Divided,Dem,Split,212,150,100,48,0,2,62,30,32,0,0,0,0,0,0,0
2011,North Carolina,Divided,Dem,Rep,170,120,52,67,0,1,50,19,31,0,0,0,0,0,0,0
2011,North Dakota,Rep,Rep,Rep,141,94,25,69,0,0,47,12,35,0,0,0,0,0,0,0
2011,Ohio,Rep,Rep,Rep,132,99,40,59,0,0,33,10,23,0,0,0,0,0,0,0
2011,Oklahoma,Rep,Rep,Rep,149,101,31,70,0,0,48,16,32,0,0,0,0,0,0,0
2011,Oregon,Divided,Dem,Split,90,60,30,30,0,0,30,16,14,0,0,0,0,0,0,0
2011,Pennsylvania,Rep,Rep,Rep,253,203,91,112,0,0,50,20,30,0,0,0,0,0,0,0
2011,Rhode Island,Divided,Ind,Dem,113,75,65,10,0,0,38,29,8,0,1,0,0,0,0,0
2011,South Carolina,Rep,Rep,Rep,170,124,48,75,1,0,46,19,27,0,0,0,0,0,0,0
2011,South Dakota,Rep,Rep,Rep,105,70,19,50,0,1,35,5,30,0,0,0,0,0,0,0
2011,Tennessee,Rep,Rep,Rep,132,99,33,64,1,1,33,13,19,1,0,0,0,0,0,0
2011,Texas,Rep,Rep,Rep,181,150,49,101,0,0,31,12,19,0,0,0,0,0,0,0
2011,Utah,Rep,Rep,Rep,104,75,17,58,0,0,29,7,22,0,0,0,0,0,0,0
2011,Vermont,Dem,Dem,Dem,180,150,95,48,0,7,30,22,8,0,0,0,0,0,0,0
2011,Virginia,Divided,Rep,Split,140,100,39,59,0,2,40,22,18,0,0,0,0,0,0,0
2011,Washington,Dem,Dem,Dem,147,98,56,42,0,0,49,27,22,0,0,0,0,0,0,0
2011,West Virginia,Dem,Dem,Dem,134,100,65,35,0,0,34,28,6,0,0,0,0,0,0,0
2011,Wisconsin,Rep,Rep,Rep,132,99,38,60,0,1,33,14,19,0,0,0,0,0,0,0
2011,Wyoming,Rep,Rep,Rep,90,60,10,50,0,0,30,4,26,0,0,0,0,0,0,0
2011,District of Columbia,N/A,N/A,Dem,13,0,0,0,0,0,0,0,0,0,0,13,11,0,0,2
2011,Guam,Divided,Rep,Dem,15,0,0,0,0,0,0,0,0,0,0,15,9,6,0,0
2011,Mariana Islands,Divided,Rep,Split,29,20,4,4,0,12,9,5,3,1,0,0,0,0,0,0
