year,state,control,governor_party,legislature_control,legislature_seats,house_seats,house_dem,house_rep,house_vacant,house_other,senate_seats,senate_dem,senate_rep,senate_vacant,senate_other,unicameral_seats,unicameral_dem,unicameral_rep,unicameral_vacant,unicameral_other
2016,Alabama,Rep,Rep,Rep,140,105,33,72,0,0,35,8,26,0,1,0,0,0,0,0
2016,Alaska,Divided,Ind,Rep,60,40,16,23,0,1,20,6,14,0,0,0,0,0,0,0
2016,Arizona,Rep,Rep,Rep,90,60,24,36,0,0,30,12,18,0,0,0,0,0,0,0
2016,Arkansas,Rep,Rep,Rep,135,100,36,64,0,0,35,11,24,0,0,0,0,0,0,0
2016,California,Dem,Dem,Dem,120,80,52,28,0,0,40,26,14,0,0,0,0,0,0,0
2016,Colorado,Divided,Dem,Split,100,65,34,31,0,0,35,17,18,0,0,0,0,0,0,0
2016,Connecticut,Dem,Dem,Dem,187,151,86,64,1,0,36,21,15,0,0,0,0,0,0,0
2016,Delaware,Dem,Dem,Dem,62,41,25,16,0,0,21,12,9,0,0,0,0,0,0,0
2016,Florida,Rep,Rep,Rep,160,120,39,81,0,0,40,14,26,0,0,0,0,0,0,0
2016,Georgia,Rep,Rep,Rep,236,180,61,118,0,1,56,17,39,0,0,0,0,0,0,0
2016,Hawaii,Dem,Dem,Dem,76,51,44,7,0,0,25,24,1,0,0,0,0,0,0,0
2016,Idaho,Rep,Rep,Rep,105,70,14,56,0,0,35,7,28,0,0,0,0,0,0,0
2016,Illinois,Divided,Rep,Dem,177,118,71,47,0,0,59,39,20,0,0,0,0,0,0,0
2016,Indiana,Rep,Rep,Rep,150,100,29,71,0,0,50,10,40,0,0,0,0,0,0,0
2016,Iowa,Divided,Rep,Split,150,100,43,57,0,0,50,26,24,0,0,0,0,0,0,0
2016,Kansas,Rep,Rep,Rep,165,125,28,97,0,0,40,8,32,0,0,0,0,0,0,0
2016,Kentucky,Divided,Rep,Split,138,100,53,47,0,0,38,11,27,0,0,0,0,0,0,0
2016,Louisiana,Divided,Dem,Rep,144,105,42,61,0,2,39,14,25,0,0,0,0,0,0,0
2016,Maine,Divided,Rep,Split,186,151,79,69,0,3,35,15,20,0,0,0,0,0,0,0
2016,Maryland,Divided,Rep,Dem,188,141,90,51,0,0,47,33,14,0,0,0,0,0,0,0
2016,Massachusetts,Divided,Rep,Dem,200,160,125,34,1,0,40,33,5,2,0,0,0,0,0,0
