year,state,control,governor_party,legislature_control,legislature_seats,house_seats,house_dem,house_rep,house_vacant,house_other,senate_seats,senate_dem,senate_rep,senate_vacant,senate_other,unicameral_seats,unicameral_dem,unicameral_rep,unicameral_vacant,unicameral_other
2017,Alabama,Rep,Rep,Rep,140,105,32,72,1,0,35,8,26,0,1,0,0,0,0,0
2017,Alaska,Divided,Ind,Rep,60,40,17,21,0,2,20,6,14,0,0,0,0,0,0,0
2017,Arizona,Rep,Rep,Rep,90,60,25,35,0,0,30,13,17,0,0,0,0,0,0,0
2017,Arkansas,Rep,Rep,Rep,135,100,24,76,0,0,35,9,26,0,0,0,0,0,0,0
2017,California,Dem,Dem,Dem,120,80,55,25,0,0,40,27,13,0,0,0,0,0,0,0
2017,Colorado,Divided,Dem,Split,100,65,37,28,0,0,35,17,18,0,0,0,0,0,0,0
2017,Connecticut,Divided,Dem,Split,187,151,79,72,0,0,36,18,18,0,0,0,0,0,0,0
2017,Delaware,Dem,Dem,Dem,62,41,25,16,0,0,21,11,10,0,0,0,0,0,0,0
2017,Florida,Rep,Rep,Rep,160,120,41,79,0,0,40,15,25,0,0,0,0,0,0,0
2017,Georgia,Rep,Rep,Rep,236,180,62,118,0,0,56,18,38,0,0,0,0,0,0,0
2017,Hawaii,Dem,Dem,Dem,76,51,45,6,0,0,25,25,0,0,0,0,0,0,0,0
2017,Idaho,Rep,Rep,Rep,105,70,11,59,0,0,35,6,29,0,0,0,0,0,0,0
2017,Illinois,Divided,Rep,Dem,177,118,67,51,0,0,59,37,22,0,0,0,0,0,0,0
2017,Indiana,Rep,Rep,Rep,150,100,30,70,0,0,50,9,41,0,0,0,0,0,0,0
2017,Iowa,Rep,Rep,Rep,150,100,41,59,0,0,50,19,29,1,1,0,0,0,0,0
2017,Kansas,Rep,Rep,Rep,165,125,40,85,0,0,40,9,31,0,0,0,0,0,0,0
2017,Kentucky,Rep,Rep,Rep,138,100,36,64,0,0,38,11,27,0,0,0,0,0,0,0
2017,Louisiana,Divided,Dem,Rep,144,105,42,60,0,3,39,14,25,0,0,0,0,0,0,0
2017,Maine,Divided,Rep,Split,186,151,76,73,0,2,35,17,18,0,0,0,0,0,0,0
2017,Maryland,Divided,Rep,Dem,188,141,90,51,0,0,47,33,14,0,0,0,0,0,0,0
2017,Massachusetts,Divided,Rep,Dem,200,160,125,35,0,0,40,34,6,0,0,0,0,0,0,0
2017,Michigan,Rep,Rep,Rep,148,110,47,63,0,0,38,11,27,0,0,0,0,0,0,0
2017,Minnesota,Divided,Dem,Rep,201,134,57,76,1,0,67,33,34,0,0,0,0,0,0,0
2017,Mississippi,Rep,Rep,Rep,174,122,48,72,2,0,52,20,32,0,0,0,0,0,0,0
2017,Missouri,Rep,Rep,Rep,197,163,46,117,0,0,34,9,25,0,0,0,0,0,0,0
