state,women_house,women_senate,women_total,total_seats,women_pct
Alabama,14,5,19,140,13.60%
Alaska,13,4,17,60,28.30%
Arizona,19,13,32,90,35.60%
Arkansas,17,6,23,135,17.00%
California,20,12,32,120,26.70%
Colorado,27,13,40,100,40.00%
Connecticut,46,9,55,187,29.40%
Delaware,10,6,16,62,25.80%
Florida,28,12,40,160,25.00%
Georgia,45,8,53,236,22.50%
Hawaii,16,8,24,76,31.60%
Idaho,22,5,27,105,25.70%
Illinois,40,15,55,177,31.10%
Indiana,23,8,31,150,20.70%
Iowa,25,10,35,150,23.30%
Kansas,27,12,39,165,23.60%
Kentucky,18,7,25,138,18.10%
Louisiana,13,4,17,144,11.80%
Maine,47,8,55,186,29.60%
Maryland,46,11,57,188,30.30%
Massachusetts,38,13,51,200,25.50%
Michigan,24,4,28,148,18.90%
Minnesota,45,23,68,201,33.80%
Mississippi,22,8,30,174,17.20%
Missouri,38,5,43,197,21.80%
Montana,32,10,42,150,28.00%
Nebraska,Unicameral,10,10,49,20.40%
Nevada,13,4,17,63,27.00%
New Hampshire,130,9,139,424,32.80%
New Jersey,24,11,35,120,29.20%
New Mexico,25,6,31,112,27.70%
New York,36,11,47,213,22.10%
North Carolina,29,8,37,170,21.80%
North Dakota,16,8,24,141,17.00%
Ohio,23,8,31,132,23.50%
Oklahoma,16,4,20,149,13.40%
Oregon,18,8,26,90,28.90%
Pennsylvania,37,8,45,253,17.80%
Rhode Island,22,9,31,113,27.40%
South Carolina,21,1,22,170,12.90%
South Dakota,18,6,24,105,22.90%
Tennessee,15,7,22,132,16.70%
Texas,31,7,38,181,21.00%
Utah,12,5,17,104,16.30%
Vermont,63,9,72,180,40.00%
Virginia,19,6,25,140,17.90%
Washington,28,17,45,147,30.60%
West Virginia,21,1,22,134,16.40%
Wisconsin,24,9,33,132,25.00%
Wyoming,13,2,15,90,16.70%
Total,1369,413,1782,7383,24.20%
