state,women_house,women_senate,women_total,total_seats,women_pct
Alabama,12,5,17,140,12.10%
Alaska,9,3,12,60,20.00%
Arizona,16,12,28,90,31.10%
Arkansas,25,7,32,135,23.70%
California,20,13,33,120,27.50%
Colorado,25,12,37,100,37.00%
Connecticut,51,8,59,187,31.60%
Delaware,7,8,15,62,24.20%
Florida,29,9,38,160,23.80%
Georgia,37,7,44,236,18.60%
Hawaii,18,7,25,76,32.90%
Idaho,18,8,26,105,24.80%
Illinois,36,13,49,177,27.70%
Indiana,20,12,32,150,21.30%
Iowa,25,9,34,150,22.70%
Kansas,34,13,47,165,28.50%
Kentucky,15,6,21,138,15.20%
Louisiana,14,8,22,144,15.30%
Maine,46,8,54,186,29.00%
Maryland,48,10,58,188,30.90%
Massachusetts,40,12,52,200,26.00%
Michigan,28,9,37,148,25.00%
Minnesota,43,27,70,201,34.80%
Mississippi,21,4,25,174,14.40%
Missouri,33,8,41,197,20.80%
Montana,29,10,39,150,26.00%
Nebraska,Unicameral,10,10,49,20.40%
Nevada,13,7,20,63,31.70%
New Hampshire,145,13,158,424,37.30%
New Jersey,27,10,37,120,30.80%
New Mexico,23,11,34,112,30.40%
New York,42,10,52,212,24.50%
North Carolina,38,6,44,170,25.90%
North Dakota,16,6,22,141,15.60%
Ohio,21,6,27,132,20.50%
Oklahoma,12,5,17,149,11.40%
Oregon,14,11,25,90,27.80%
Pennsylvania,27,10,37,253,14.60%
Rhode Island,17,8,25,113,22.10%
South Carolina,17,0,17,170,10.00%
South Dakota,13,7,20,105,19.00%
Tennessee,16,8,24,132,18.20%
Texas,37,6,43,181,23.80%
Utah,18,5,23,104,22.10%
Vermont,57,10,67,180,37.20%
Virginia,16,8,24,140,17.10%
Washington,29,19,48,147,32.70%
West Virginia,20,2,22,134,16.40%
Wisconsin,22,7,29,132,22.00%
Wyoming,15,1,16,90,17.80%
Total,1354,434,1788,7382,24.20%
