state,house_women,senate_women,total_women,total_seats,percentage_women
Alabama,13,5,18,140,12.9%
Alaska,9,3,12,60,20.0%
Arizona,18,11,29,90,32.2%
Arkansas,25,6,31,135,23.0%
California,20,13,33,120,27.5%
Colorado,25,13,38,100,38.0%
Connecticut,52,8,60,187,32.1%
Delaware,8,8,16,62,25.8%
Florida,29,9,38,160,23.8%
Georgia,38,7,45,236,19.1%
Hawaii,18,7,25,76,32.9%
Idaho,18,8,26,105,24.8%
Illinois,37,13,50,177,28.2%
Indiana,20,12,32,150,21.3%
Iowa,26,9,35,150,23.3%
Kansas,36,14,50,165,30.3%
Kentucky,15,7,22,138,15.9%
Louisiana,15,8,23,144,16.0%
Maine,46,8,54,186,29.0%
Maryland,49,10,59,188,31.4%
Massachusetts,40,12,52,200,26.0%
Michigan,28,9,37,148,25.0%
Minnesota,43,27,70,201,34.8%
Mississippi,21,4,25,174,14.4%
Missouri,36,8,44,197,22.3%
Montana,29,10,39,150,26.0%
Nebraska,Unicameral,10,10,49,20.4%
Nevada,13,7,20,63,31.7%
New Hampshire,144,13,157,424,37.0%
New Jersey,26,8,34,120,28.3%
New Mexico,23,11,34,112,30.4%
New York,41,10,51,212,24.1%
North Carolina,37,7,44,170,25.9%
North Dakota,17,7,24,141,17.0%
Ohio,22,7,29,132,22.0%
Oklahoma,12,5,17,149,11.4%
Oregon,16,10,26,90,28.9%
Pennsylvania,29,10,39,253,15.4%
Rhode Island,17,8,25,113,22.1%
South Carolina,17,0,17,170,10.0%
South Dakota,14,7,21,105,20.0%
Tennessee,17,8,25,132,18.9%
Texas,36,6,42,181,23.2%
Utah,17,5,22,104,21.2%
Vermont,56,11,67,180,37.2%
Virginia,19,8,27,140,19.3%
Washington,29,19,48,147,32.7%
West Virginia,20,2,22,134,16.4%
Wisconsin,22,7,29,132,22.0%
Wyoming,13,2,15,90,16.7%
