state,house_women,senate_women,total_women,total_seats,percentage_women
Alabama,15,5,20,140,14.3%
Alaska,12,4,16,60,26.7%
Arizona,19,13,32,90,35.6%
Arkansas,17,6,23,135,17.0%
California,20,12,32,120,26.7%
Colorado,28,13,41,100,41.0%
Connecticut,45,8,53,187,28.3%
Delaware,10,6,16,62,25.8%
Florida,29,12,41,160,25.6%
Georgia,45,8,53,236,22.5%
Hawaii,16,8,24,76,31.6%
Idaho,22,6,28,105,26.7%
Illinois,40,15,55,177,31.1%
Indiana,22,8,30,150,20.0%
Iowa,25,10,35,150,23.3%
Kansas,29,12,41,165,24.8%
Kentucky,19,6,25,138,18.1%
Louisiana,14,4,18,144,12.5%
Maine,47,8,55,186,29.6%
Maryland,46,11,57,188,30.3%
Massachusetts,37,12,49,200,24.5%
Michigan,24,4,28,148,18.9%
Minnesota,45,23,68,201,33.8%
Mississippi,22,8,30,174,17.2%
Missouri,38,5,43,197,21.8%
Montana,30,10,40,150,26.7%
Nebraska,Unicameral,10,10,49,20.4%
Nevada,13,4,17,63,27.0%
New Hampshire,128,9,137,424,32.3%
New Jersey,26,10,36,120,30.0%
New Mexico,26,6,32,112,28.6%
New York,34,11,45,213,21.1%
North Carolina,28,9,37,170,21.8%
North Dakota,16,8,24,141,17.0%
Ohio,23,8,31,132,23.5%
Oklahoma,16,4,20,149,13.4%
Oregon,20,7,27,90,30.0%
Pennsylvania,37,8,45,253,17.8%
Rhode Island,21,9,30,113,26.5%
South Carolina,21,1,22,170,12.9%
South Dakota,18,6,24,105,22.9%
Tennessee,16,7,23,132,17.4%
Texas,32,7,39,181,21.5%
Utah,12,5,17,104,16.3%
Vermont,65,8,73,180,40.6%
Virginia,17,7,24,140,17.1%
Washington,30,18,48,147,32.7%
West Virginia,21,1,22,134,16.4%
Wisconsin,25,9,34,132,25.8%
Wyoming,12,2,14,90, 15.6%
 , , , , , 
" 1,373",411," 1,784", 24.2%
