state,house_women,senate_women,total_women,total_seats,percentage_women
State,Number of Women Legislators in the House / Assembly,Number of Women Legislators in the Senate,Total Number of Women Legislators,Total Seats in the Legislature,Percentage of Women in the Legislature
Alabama,14,5,19,140,13.6%
Alaska,11,4,15,60,25.0%
Arizona,19,11,30,90,33.3%
Arkansas,22,8,30 ,135,22.2%
California,22,12,34,120,28.3%
Colorado,23,17,40,100,40.0%
Connecticut,47,9,56,187,29.9%
Delaware,9,7,16,62,25.8%
Florida,27,14,41,160,25.6%
Georgia,47,9,56,236,23.7%
Hawaii,18,9,27,76,35.5%
Idaho,20,9,29,105,27.6%
Illinois,38,16,54,177,30.5%
Indiana,21,10,31,150,20.7%
Iowa,24,8,32,150,21.3%
Kansas,33,12,45,165,27.3%
Kentucky,20,6,26,138,18.8%
Louisiana,12,4,16,144,11.1%
Maine,47,8,55,186,29.6%
Maryland,47,11,58,188,30.9%
Massachusetts,38,11,49,200,24.5%
Michigan,27,4,31,148,20.9%
Minnesota,45,21,66,201,32.8%
Mississippi,21,8,29,174,16.7%
Missouri,41,6,47,197,23.9%
Montana,28,8,36,150,24.0%
Nebraska,Unicameral,11,11,49,22.4%
Nevada,12,4,16,63,25.4% 
New Hampshire,97,6,103,424,24.3%
New Jersey,24,11,35,120,29.2%
New Mexico,20,11,31,112,27.7%
New York,36,11,47,212,22.2%
North Carolina,35, 5,40,170,23.5%
North Dakota,15, 6,21,141,14.9%
Ohio,23, 8,31,132,23.5%
Oklahoma,14, 5,19,149,12.8%
Oregon,17, 9,26,90,28.9%
Pennsylvania,33,10,43,253,17.0%
Rhode Island,19 ,10 ,29,113,25.7%
South Carolina,17,0 ,17,170,10.0%
South Dakota,14,7 ,21,105,20.0%
Tennessee,17,7 ,24,132,18.2%
Texas,31,6 ,37,181,20.4% 
Utah,12,5 ,17,104,16.3% 
Vermont,59,11 ,70,180,38.9% 
Virginia,18,6,24,140,17.9%
Washington,29,18,47,147,32.0%
West Virginia,22,2 ,24,134,17.1%
Wisconsin,23,9,32,132,24.2% 
Wyoming,12,1 ,13,90,14.4% 
 , , , , , 

