state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,8,26,1,105,33,72,,Rep,Rep,Rep
Alaska,60,20,6,14,,40,16,23,1,Rep,Ind,Divided
Arizona,90,30,13,17,,60,22,38,,Rep,Rep,Rep
Arkansas,135,35,11,24,,100,36,64,,Rep,Rep,Rep
California,120,40,25,14,1v,80,52,28,,Dem,Dem,Dem
Colorado,100,35,17,18,,65,33,32,,Split,Dem,Divided
Connecticut,187,36,21,15,,151,87,64,,Dem,Dem,Dem
Delaware,62,21,12,9,,41,25,16,,Dem,Dem,Dem
Florida,160,40,14,26,,120,37,82,1v,Rep,Rep,Rep
Georgia,236,56,18,38,,180,59,120,1,Rep,Rep,Rep
Hawaii,76,25,24,1,,51,43,8,,Dem,Dem,Dem
Idaho,105,35,7,28,,70,14,56,,Rep,Rep,Rep
Illinois,177,59,39,20,,118,71,47,,Dem,Rep,Divided
Indiana,150,50,10,40,,100,30,70,,Rep,Rep,Rep
Iowa,150,50,26,24,,100,43,57,,Split,Rep,Divided
Kansas,165,40,8,32,,125,27,98,,Rep,Rep,Rep
Kentucky,138,38,12,26,,100,54,46,,Split,Dem,Divided
Louisiana,144,39,13,26,,105,44,59,2,Rep,Rep,Rep
Maine,186,35,15,20,,151,79,68,4,Split,Rep,Divided
Maryland,188,47,32,14,1u,141,90,51,,Dem,Rep,Divided
Massachusetts,200,40,34,6,,160,125,35,,Dem,Rep,Divided
Michigan,148,38,11,27,,110,47,63,,Rep,Rep,Rep
Minnesota,201,67,39,28,,134,62,72,,Split,Dem,Divided
Mississippi,174,52,20,31,1v,122,56,66,,Rep,Rep,Rep
Missouri,197,34,9,25,,163,45,117,1u,Rep,Dem,Divided
Montana,150,50,21,29,,100,41,59,,Rep,Dem,Divided
Nebraska,49,49,,,49,,,,,N/A,Rep,N/A
Nevada,63,21,10,11,,42,15,27,,Rep,Rep,Rep
New Hampshire,424,24,10,14,,400,160,239,1,Rep,Dem,Divided
New Jersey,120,40,24,16,,80,48,32,,Dem,Rep,Divided
New Mexico,112,42,25,17,,70,33,37,,Split,Rep,Divided
New York,213,63,31,32,,150,106,44,,Split,Dem,Divided
North Carolina,170,50,16,34,,120,46,74,,Rep,Rep,Rep
North Dakota,141,47,16,31,,94,23,71,,Rep,Rep,Rep
Ohio,132,33,10,23,,99,34,65,,Rep,Rep,Rep
Oklahoma,149,48,8,40,,101,29,72,,Rep,Rep,Rep
Oregon,90,30,18,12,,60,35,25,,Dem,Dem,Dem
Pennsylvania,253,50,20,30,,203,84,119,,Rep,Dem,Divided
Rhode Island,113,38,32,5,1,75,63,11,1,Dem,Dem,Dem
South Carolina,170,46,18,28,,124,46,78,,Rep,Rep,Rep
South Dakota,105,35,8,27,,70,12,58,,Rep,Rep,Rep
Tennessee,132,33,6,27,,99,26,73,,Rep,Rep,Rep
Texas,181,31,11,20,,150,52,98,,Rep,Rep,Rep
Utah,104,29,4,23,2v,75,12,63,,Rep,Rep,Rep
Vermont,180,30,20,9,1,150,85,53,12,Dem,Dem,Dem
Virginia,140,40,19,21,,100,32,67,1v,Rep,Dem,Divided
Washington,147,49,24,25,,98,50,43,5u,Split,Dem,Divided
West Virginia,134,34,16,18,,100,36,64,,Rep,Dem,Divided
Wisconsin,132,33,14,19,,99,36,63,,Rep,Rep,Rep
Wyoming,90,30,4,26,,60,9,51,,Rep,Rep,Rep
Total,7383,1972,829,1086,"52, 1u, 4v",5411,2343,3038,"22, 6u, 2v","30R, 11D, 8 Split, 1 N/A","31R, 18D, 1I","23R, 7D, 19 Div, 1 N/A"
