state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,11,23,1,105,37,66,"1, 1v",Rep,Rep,Rep
Alaska,60,20,7,13,0,40,14,26,0,Rep,Rep,Rep
Arizona,90,30,12,17,1v,60,24,36,0,Rep,Rep,Rep
Arkansas,135,35,13,22,0,100,48,51,1,Rep,Dem,Divided
California,120,40,28,11,1v,80,55,25,0,Dem,Dem,Dem
Colorado,100,35,18,17,0,65,37,28,0,Dem,Dem,Dem
Connecticut,187,36,21,14,1v,151,98,53,0,Dem,Dem,Dem
Delaware,62,21,13,8,0,41,27,14,0,Dem,Dem,Dem
Florida,160,40,14,26,0,120,45,74,1v,Rep,Rep,Rep
Georgia,236,56,18,38,0,180,60,119,1,Rep,Rep,Rep
Hawaii,76,25,24,1,0,51,44,7,0,Dem,Dem,Dem
Idaho,105,35,7,28,0,70,13,57,0,Rep,Rep,Rep
Illinois,177,59,40,19,0,118,71,47,0,Dem,Dem,Dem
Indiana,150,50,13,37,0,100,31,69,0,Rep,Rep,Rep
Iowa,150,50,26,24,0,100,47,53,0,Split,Rep,Divided
Kansas,165,40,8,32,0,125,33,92,0,Rep,Rep,Rep
Kentucky,138,38,14,23,1,100,54,46,0,Split,Dem,Divided
Louisiana,144,39,13,26,0,105,44,59,2,Rep,Rep,Rep
Maine,186,35,19,15,1,151,89,58,4,Dem,Rep,Divided
Maryland,188,47,36,11,0,141,98,43,0,Dem,Dem,Dem
Massachusetts,200,40,36,4,0,160,131,29,0,Dem,Dem,Dem
Michigan,148,38,12,26,0,110,51,59,0,Rep,Rep,Rep
Minnesota,201,67,39,28,0,134,73,61,0,Dem,Dem,Dem
Mississippi,174,52,20,32,0,122,57,65,0,Rep,Rep,Rep
Missouri,197,34,9,24,1v,163,52,108,3v,Rep,Dem,Divided
Montana,150,50,21,29,0,100,38,61,1v,Rep,Dem,Divided
Nevada,63,21,11,10,0,42,27,15,0,Dem,Rep,Divided
New Hampshire,424,24,11,13,0,400,220,179,1v,Split,Dem,Divided
New Jersey,120,40,24,16,0,80,48,32,0,Dem,Rep,Divided
New Mexico,112,42,25,17,0,70,37,33,0,Dem,Rep,Divided
New York,213,63,32,29,2v,150,100,40,10v,Dem*,Dem,Dem*
North Carolina,170,50,17,33,0,120,43,77,0,Rep,Rep,Rep
North Dakota,141,47,14,33,0,94,23,71,0,Rep,Rep,Rep
Ohio,132,33,10,23,0,99,39,60,0,Rep,Rep,Rep
Oklahoma,149,48,12,36,0,101,29,72,0,Rep,Rep,Rep
Oregon,90,30,16,14,0,60,34,26,0,Dem,Dem,Dem
Pennsylvania,253,50,23,27,0,203,92,111,0,Rep,Rep,Rep
Rhode Island,113,38,32,5,1,75,69,6,0,Dem,Dem,Dem
South Carolina,170,46,18,28,0,124,46,78,0,Rep,Rep,Rep
South Dakota,105,35,7,28,0,70,17,53,0,Rep,Rep,Rep
Tennessee,132,33,7,26,0,99,27,71,1,Rep,Rep,Rep
Texas,181,31,12,19,0,150,55,95,0,Rep,Rep,Rep
Utah,104,29,5,24,0,75,14,61,0,Rep,Rep,Rep
Vermont,180,30,21,7,2,150,93,47,10,Dem,Dem,Dem
Virginia,140,40,19,20,1v,100,33,67,0,Rep,Dem,Divided
Washington,147,49,25,24,0,98,55,43,0,Dem*,Dem,Dem*
West Virginia,134,34,24,10,0,100,53,47,0,Dem,Dem,Dem
Wisconsin,132,33,15,18,0,99,39,60,0,Rep,Rep,Rep
