state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,8,26,1,105,33,72,0,Rep,Rep,Rep
Alaska,60,20,6,14,0,40,16,23,1,Rep,Ind,Divided
Arizona,90,30,12,18,0,60,24,36,0,Rep,Rep,Rep
Arkansas,135,35,11,24,0,100,36,64,0,Rep,Rep,Rep
California,120,40,26,14,0,80,52,28,0,Dem,Dem,Dem
Colorado,100,35,17,18,0,65,34,31,0,Split,Dem,Divided
Connecticut,187,36,21,15,0,151,86,64,1v,Dem,Dem,Dem
Delaware,62,21,12,9,0,41,25,16,0,Dem,Dem,Dem
Florida,160,40,14,26,0,120,39,81,0,Rep,Rep,Rep
Georgia,236,56,17,39,0,180,61,118,1,Rep,Rep,Rep
Hawaii,76,25,24,1,0,51,44,7,0,Dem,Dem,Dem
Idaho,105,35,7,28,0,70,14,56,0,Rep,Rep,Rep
Illinois,177,59,39,20,0,118,71,47,0,Dem,Rep,Divided
Indiana,150,50,10,40,0,100,29,71,0,Rep,Rep,Rep
Iowa,150,50,26,24,0,100,43,57,0,Split,Rep,Divided
Kansas,165,40,8,32,0,125,28,97,0,Rep,Rep,Rep
Kentucky,138,38,11,27,0,100,53,47,0,Split,Rep,Divided
Louisiana,144,39,14,25,0,105,42,61,2,Rep,Dem,Divided
Maine,186,35,15,20,0,151,79,69,3,Split,Rep,Divided
Maryland,188,47,33,14,0,141,90,51,0,Dem,Rep,Divided
Massachusetts,200,40,33,5,2v,160,125,34,1v,Dem,Rep,Divided
Michigan,148,38,11,27,0,110,46,63,1v,Rep,Rep,Rep
Minnesota,201,67,39,28,0,134,61,73,0,Split,Dem,Divided
Mississippi,174,52,20,32,0,122,48,74,0,Rep,Rep,Rep
Missouri,197,34,8,24,2v,163,45,116,"1, 1v",Rep,Dem,Divided
Montana,150,50,21,29,0,100,41,59,0,Rep,Dem,Divided
Nevada,63,21,10,11,0,42,17,25,0,Rep,Rep,Rep
New Hampshire,424,24,10,14,0,400,160,239,1,Rep,Dem,Divided
New Jersey,120,40,24,16,0,80,52,28,0,Dem,Rep,Divided
New Mexico,112,42,24,18,0,70,33,37,0,Split,Rep,Divided
New York,213,63,32,31,0,150,106,42,"1,1v",Dem,Dem,Dem
North Carolina,170,50,16,34,0,120,45,74,1,Rep,Rep,Rep
North Dakota,141,47,15,32,0,94,23,71,0,Rep,Rep,Rep
Ohio,132,33,10,23,0,99,34,65,0,Rep,Rep,Rep
Oklahoma,149,48,9,39,0,101,30,71,0,Rep,Rep,Rep
Oregon,90,30,18,12,0,60,35,25,0,Dem,Dem,Dem
Pennsylvania,253,50,19,30,1v,203,84,119,0,Rep,Dem,Divided
Rhode Island,113,38,32,5,1,75,63,11,1,Dem,Dem,Dem
South Carolina,170,46,18,27,1v,124,46,78,0,Rep,Rep,Rep
South Dakota,105,35,8,27,0,70,12,58,0,Rep,Rep,Rep
Tennessee,132,33,5,28,0,99,26,73,0,Rep,Rep,Rep
Texas,181,31,11,20,0,150,49,98,"1, 2v",Rep,Rep,Rep
Utah,104,29,5,24,0,75,12,63,0,Rep,Rep,Rep
Vermont,180,30,21,9,0,150,85,53,12,Dem,Dem,Dem
Virginia,140,40,19,21,0,100,34,66,0,Rep,Dem,Divided
Washington,147,49,24,25,0,98,50,48,0,Split,Dem,Divided
West Virginia,134,34,16,18,0,100,36,64,0,Rep,Dem,Divided
Wisconsin,132,33,14,19,0,99,36,63,0,Rep,Rep,Rep
