state,women_house,women_senate,women_total,total_seats,women_pct
Alabama,14,5,19,140,13.60%
Alaska,11,4,15,60,25.00%
Arizona,19,11,30,90,33.30%
Arkansas,22,8,30,135,22.20%
California,22,12,34,120,28.30%
Colorado,23,17,40,100,40.00%
Connecticut,47,9,56,187,29.90%
Delaware,9,7,16,62,25.80%
Florida,27,14,41,160,25.60%
Georgia,47,9,56,236,23.70%
Hawaii,18,9,27,76,35.50%
Idaho,20,9,29,105,27.60%
Illinois,38,16,54,177,30.50%
Indiana,21,10,31,150,20.70%
Iowa,24,8,32,150,21.30%
Kansas,33,12,45,165,27.30%
Kentucky,20,6,26,138,18.80%
Louisiana,12,4,16,144,11.10%
Maine,47,8,55,186,29.60%
Maryland,47,11,58,188,30.90%
Massachusetts,38,11,49,200,24.50%
Michigan,27,4,31,148,20.90%
Minnesota,45,21,66,201,32.80%
Mississippi,21,8,29,174,16.70%
Missouri,41,6,47,197,23.90%
Montana,28,8,36,150,24.00%
Nebraska,Unicameral,11,11,49,22.40%
Nevada,12,4,16,63,25.4%
New Hampshire,97,6,103,424,24.30%
New Jersey,24,11,35,120,29.20%
New Mexico,20,11,31,112,27.70%
New York,36,11,47,212,22.20%
North Carolina,35,5,40,170,23.50%
North Dakota,15,6,21,141,14.90%
Ohio,23,8,31,132,23.50%
Oklahoma,14,5,19,149,12.80%
Oregon,17,9,26,90,28.90%
Pennsylvania,33,10,43,253,17.00%
Rhode Island,19,10,29,113,25.70%
South Carolina,17,0,17,170,10.00%
South Dakota,14,7,21,105,20.00%
Tennessee,17,7,24,132,18.20%
Texas,31,6,37,181,20.4%
Utah,12,5,17,104,16.3%
Vermont,59,11,70,180,38.9%
Virginia,18,6,24,140,17.90%
Washington,29,18,47,147,32.00%
West Virginia,22,2,24,134,17.10%
Wisconsin,23,9,32,132,24.2%
Wyoming,12,1,13,90,14.4%
Total,1320,426,1746,7382,23.70%
